Date,Lightning_Count
2014-01-01,13651
2014-01-02,35829
2014-01-03,205230
2014-01-04,284428
2014-01-05,165092
2014-01-06,179844
2014-01-07,97409
2014-01-08,181159
2014-01-09,153484
2014-01-10,71484
2014-01-11,23543
2014-01-12,22632
2014-01-13,42841
2014-01-14,50956
2014-01-15,57110
2014-01-16,46454
2014-01-17,46640
2014-01-18,21152
2014-01-19,14512
2014-01-20,25048
2014-01-21,144515
2014-01-22,95988
2014-01-23,51676
2014-01-24,116209
2014-01-25,218881
2014-01-26,103852
2014-01-27,81181
2014-01-28,67525
2014-01-29,25706
2014-01-30,14561
2014-01-31,17625
2014-02-01,23218
2014-02-02,41857
2014-02-03,76545
2014-02-04,52532
2014-02-05,21530
2014-02-06,17886
2014-02-07,52047
2014-02-08,43089
2014-02-09,76586
2014-02-10,66790
2014-02-11,47202
2014-02-12,34002
2014-02-13,13568
2014-02-14,34524
2014-02-15,160766
2014-02-16,29206
2014-02-17,15730
2014-02-18,38595
2014-02-19,38452
2014-02-20,57431
2014-02-21,61747
2014-02-22,58644
2014-02-23,48483
2014-02-24,65662
2014-02-25,80971
2014-02-26,60089
2014-02-27,27990
2014-02-28,18247
2014-03-01,24435
2014-03-02,29173
2014-03-03,15653
2014-03-04,37634
2014-03-05,50575
2014-03-06,61480
2014-03-07,99057
2014-03-08,30209
2014-03-09,49003
2014-03-10,17988
2014-03-11,22534
2014-03-12,20895
2014-03-13,32953
2014-03-14,62776
2014-03-15,93118
2014-03-16,196730
2014-03-17,33767
2014-03-18,33473
2014-03-19,38899
2014-03-20,47251
2014-03-21,59655
2014-03-22,92065
2014-03-23,170477
2014-03-24,84298
2014-03-25,18398
2014-03-26,48452
2014-03-27,60102
2014-03-28,21987
2014-03-29,20673
2014-03-30,72349
2014-03-31,31630
2014-04-01,41796
2014-04-02,24350
2014-04-03,57188
2014-04-04,60402
2014-04-05,99386
2014-04-06,92445
2014-04-07,66833
2014-04-08,20731
2014-04-09,5568
2014-04-10,9964
2014-04-11,44686
2014-04-12,23449
2014-04-13,732
2014-04-14,1757
2014-04-15,3164
2014-04-16,1974
2014-04-17,1588
2014-04-18,1195
2014-04-19,757
2014-04-20,1607
2014-04-21,4025
2014-04-22,72301
2014-04-23,74864
2014-04-24,177364
2014-04-25,90138
2014-04-26,59113
2014-04-27,18509
2014-04-28,19023
2014-04-29,16226
2014-04-30,10245
2014-05-01,26774
2014-05-02,70751
2014-05-03,14024
2014-05-04,5281
2014-05-05,1202
2014-05-06,3979
2014-05-07,2547
2014-05-08,5724
2014-05-09,398
2014-05-10,4988
2014-05-11,11985
2014-05-12,6552
2014-05-13,38377
2014-05-14,1179
2014-05-15,9578
2014-05-16,2809
2014-05-17,282
2014-05-18,458
2014-05-19,1982
2014-05-20,38006
2014-05-21,25944
2014-05-22,4754
2014-05-23,42220
2014-05-24,19435
2014-05-25,11194
2014-05-26,8909
2014-05-27,37622
2014-05-28,34795
2014-05-29,3397
2014-05-30,3090
2014-05-31,3563
2014-06-01,2270
2014-06-02,8199
2014-06-03,1750
2014-06-04,1076
2014-06-05,6839
2014-06-06,10073
2014-06-07,2436
2014-06-08,2401
2014-06-09,4107
2014-06-10,12316
2014-06-11,19314
2014-06-12,617
2014-06-13,3425
2014-06-14,9140
2014-06-15,11188
2014-06-16,1017
2014-06-17,5157
2014-06-18,480
2014-06-19,1105
2014-06-20,23860
2014-06-21,31224
2014-06-22,11973
2014-06-23,11565
2014-06-24,5379
2014-06-25,7465
2014-06-26,10140
2014-06-27,896
2014-06-28,71946
2014-06-29,4821
2014-06-30,4714
2014-07-01,244
2014-07-02,3912
2014-07-03,1276
2014-07-04,2923
2014-07-05,18607
2014-07-06,29759
2014-07-07,22914
2014-07-08,5116
2014-07-09,72871
2014-07-10,19557
2014-07-11,678
2014-07-12,4003
2014-07-13,8128
2014-07-14,2141
2014-07-15,3443
2014-07-16,21647
2014-07-17,11858
2014-07-18,11690
2014-07-19,3154
2014-07-20,541
2014-07-21,573
2014-07-22,3677
2014-07-23,310
2014-07-24,32849
2014-07-25,87148
2014-07-26,33689
2014-07-27,3522
2014-07-28,12736
2014-07-29,18539
2014-07-30,2552
2014-07-31,3437
2014-08-01,38766
2014-08-02,514
2014-08-03,2254
2014-08-04,1089
2014-08-05,1032
2014-08-06,373
2014-08-07,973
2014-08-08,681
2014-08-09,420
2014-08-10,9378
2014-08-11,13992
2014-08-12,3616
2014-08-13,8090
2014-08-14,12003
2014-08-15,3867
2014-08-16,4390
2014-08-17,13637
2014-08-18,26751
2014-08-19,3303
2014-08-20,162
2014-08-21,1638
2014-08-22,2668
2014-08-23,8779
2014-08-24,13060
2014-08-25,13685
2014-08-26,36652
2014-08-27,26410
2014-08-28,5646
2014-08-29,8455
2014-08-30,2232
2014-08-31,3530
2014-09-01,36167
2014-09-02,339408
2014-09-03,29589
2014-09-04,4411
2014-09-05,3077
2014-09-06,10776
2014-09-07,30105
2014-09-08,20910
2014-09-09,117470
2014-09-10,52539
2014-09-11,11810
2014-09-12,19101
2014-09-13,23526
2014-09-14,87039
2014-09-15,62287
2014-09-16,445768
2014-09-17,38399
2014-09-18,11188
2014-09-19,24235
2014-09-20,20768
2014-09-21,52407
2014-09-22,4813
2014-09-23,64900
2014-09-24,96624
2014-09-25,70564
2014-09-26,15430
2014-09-27,6162
2014-09-28,9191
2014-09-29,3202
2014-09-30,75687
2014-10-01,37438
2014-10-02,10558
2014-10-03,36886
2014-10-04,83589
2014-10-05,83663
2014-10-06,33919
2014-10-07,6338
2014-10-08,15814
2014-10-09,10825
2014-10-10,97103
2014-10-11,205865
2014-10-12,307390
2014-10-13,380529
2014-10-14,157258
2014-10-15,59711
2014-10-16,59130
2014-10-17,168118
2014-10-18,172540
2014-10-19,251444
2014-10-20,107830
2014-10-21,38883
2014-10-22,295826
2014-10-23,190868
2014-10-24,161858
2014-10-25,231377
2014-10-26,264785
2014-10-27,328462
2014-10-28,229205
2014-10-29,330945
2014-10-30,507605
2014-10-31,460583
2014-11-01,804628
2014-11-02,174929
2014-11-03,431538
2014-11-04,508903
2014-11-05,802071
2014-11-06,507407
2014-11-07,249452
2014-11-08,245272
2014-11-09,404661
2014-11-10,674766
2014-11-11,602387
2014-11-12,458550
2014-11-13,320652
2014-11-14,216456
2014-11-15,140381
2014-11-16,314521
2014-11-17,314674
2014-11-18,746245
2014-11-19,689952
2014-11-20,308339
2014-11-21,855114
2014-11-22,686909
2014-11-23,1020394
2014-11-24,806246
2014-11-25,699847
2014-11-26,908258
2014-11-27,1084151
2014-11-28,1033294
2014-11-29,653035
2014-11-30,1046361
2014-12-01,1305281
2014-12-02,763386
2014-12-03,1306010
2014-12-04,1273861
2014-12-05,1386346
2014-12-06,1263127
2014-12-07,1444375
2014-12-08,1689677
2014-12-09,1241577
2014-12-10,1485088
2014-12-11,1461124
2014-12-12,1140649
2014-12-13,889791
2014-12-14,677557
2014-12-15,644180
2014-12-16,857502
2014-12-17,1039603
2014-12-18,1570913
2014-12-19,1220452
2014-12-20,1138979
2014-12-21,986381
2014-12-22,562806
2014-12-23,903550
2014-12-24,718498
2014-12-25,670868
2014-12-26,227958
2014-12-27,198439
2014-12-28,292655
2014-12-29,789481
2014-12-30,329698
2014-12-31,511901
